,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
688,Stefan Lainer,,30,1.75,Austria,Salzburg,3.5,18,Defender - Right-Back,18,right,Bor. M'gladbach,6/30/2024,7/1/2019,ROOF,,Bundesliga
707,Niklas Klinger,,27,1.87,Germany,Wolfsburg,0.1,0.1,Goalkeeper,30,right,VfL Wolfsburg,6/30/2025,7/1/2019,TPWE GmbH,,Bundesliga
711,Paulo Otávio,,28,1.73,Brazil,Ourinhos,6.5,8,Defender - Left-Back,6,left,VfL Wolfsburg,6/30/2023,7/1/2019,TFM Agency,,Bundesliga
740,Jonathan Schmid,,32,1.79,France,Strasbourg,1.2,5,Defender - Right-Back,7,right,SC Freiburg,,7/1/2019,Unique Sports Group,,Bundesliga
751,Woo-yeong Jeong,정우영,23,1.79,"Korea, South",Ulsan,4,5.5,Attack - Second Striker,29,right,SC Freiburg,6/30/2025,7/1/2019,Apertura Sports GmbH,,Bundesliga
756,Philipp Pentke,,38,1.91,Germany,Freiberg,0.3,0.4,Goalkeeper,12,right,TSG Hoffenheim,6/30/2023,7/1/2019,Bigpoint,HashtagOne,Bundesliga
783,Ihlas Bebou,,29,1.83,Togo  Germany,Aledjo Kadara,7,16,Attack - Centre-Forward,9,right,TSG Hoffenheim,6/30/2026,7/1/2019,Wasserman,,Bundesliga
808,Sheraldo Becker,,28,1.8,Suriname  Netherlands,Amsterdam,15,15,Attack - Second Striker,27,right,Union Berlin,6/30/2024,7/1/2019,Sports360 GmbH,,Bundesliga
821,Iago,,26,1.81,Brazil,Monte Azul Paulista,5.5,6.5,Defender - Left-Back,22,left,FC Augsburg,6/30/2024,7/1/2019,C.R,,Bundesliga
822,Mads Pedersen,Mads Giersing Valentin Pedersen,26,1.74,Denmark,Hørsholm,2.5,2.5,Defender - Left-Back,3,left,FC Augsburg,6/30/2024,7/1/2019,Nordic Sky,Nike,Bundesliga
835,Rubén Vargas,Rubén Estephan Vargas Martínez,24,1.79,Switzerland  Dominican Republic,Adligenswil,6,13,Attack - Left Winger,16,right,FC Augsburg,6/30/2025,7/1/2019,IFM,,Bundesliga
838,Noah Joel Sarenren Bazee,,26,1.83,Germany  Nigeria,Celle,0.8,1.5,Attack - Right Winger,17,right,FC Augsburg,6/30/2024,7/1/2019,Rummenigge Sport ...,Puma,Bundesliga
846,Fabian Bredlow,,28,1.9,Germany,Berlin,1.5,1.5,Goalkeeper,33,both,VfB Stuttgart,6/30/2024,7/1/2019,SEG,,Bundesliga
857,Atakan Karazor,,26,1.91,Germany,Essen,4.5,4.5,midfield - Defensive Midfield,16,right,VfB Stuttgart,6/30/2026,7/1/2019,EMG Mundial,adidas,Bundesliga
883,Aarón Martín,Aarón Martín Caricol,26,1.8,Spain,Montmeló,7,20,Defender - Left-Back,3,left,1.FSV Mainz 05,6/30/2023,7/1/2019,BY AND FOR,,Bundesliga
889,Edimilson Fernandes,Edimilson Fernandes Ribeiro,27,1.9,Switzerland  Portugal,Sion,3,8,midfield - Central Midfield,20,right,1.FSV Mainz 05,6/30/2026,7/1/2019,IFM,,Bundesliga
921,Kingsley Schindler,,29,1.83,Ghana  Germany,Hamburg,1,3,midfield - Right Midfield,17,right,1.FC Köln,6/30/2023,7/1/2019,11WINS,,Bundesliga
968,Marco Friedl,,25,1.87,Austria,Kirchbichl,6.5,7.5,Defender - Centre-Back,32,left,Werder Bremen,6/30/2026,7/1/2019,YOU FIRST,,Bundesliga
977,Ilia Gruev,Илия Илиев Груев,23,1.85,Bulgaria  Germany,Sofia,3,3,midfield - Defensive Midfield,28,left,Werder Bremen,6/30/2025,7/1/2019,feel soccer GmbH,,Bundesliga
986,Niclas Füllkrug,,30,1.89,Germany,Hannover,13,15,Attack - Centre-Forward,11,right,Werder Bremen,6/30/2025,7/1/2019,ROOF,,Bundesliga
1048,Alex Meret,,26,1.9,Italy,Udine,18,40,Goalkeeper,1,left,SSC Napoli,6/30/2024,7/1/2019,P&P Sport ...,adidas,Other
1058,Giovanni Di Lorenzo,,29,1.83,Italy,Castelnuovo di Garfagnana,25,25,Defender - Right-Back,22,right,SSC Napoli,6/30/2026,7/1/2019,M.A.R.A.T. Football ...,Puma,Other
1067,Gianluca Gaetano,,23,1.83,Italy,Cimitile,4.5,4.5,midfield - Attacking Midfield,70,right,SSC Napoli,6/30/2025,7/1/2019,P&P Sport ...,,Other
1145,Adrien Rabiot,Adrien Rabiot-Provost,28,1.88,France,Saint-Maurice,30,50,midfield - Central Midfield,25,left,Juventus,6/30/2023,7/1/2019,Relatives,adidas,SerieA
1183,Luis Muriel,Luis Fernando Muriel Fruto,32,1.79,Colombia,Santo Tomás,8,30,Attack - Centre-Forward,9,right,Atalanta BC,6/30/2024,7/1/2019,World Soccer Agency,,SerieA
1192,Leonardo Spinazzola,,30,1.86,Italy,Foligno,15,26,Defender - Left-Back,37,right,AS Roma,6/30/2024,7/1/2019,Reset Group Srl,,SerieA
1196,Bryan Cristante,,28,1.86,Italy  Canada,San Vito al Tagliamento,20,25,midfield - Defensive Midfield,4,right,AS Roma,6/30/2024,7/1/2019,Gr Sports,adidas,SerieA
1244,Aleksa Terzić,Алекса Терзић,23,1.84,Serbia,Belgrad,1.5,2,Defender - Left-Back,15,left,Fiorentina,6/30/2024,7/1/2019,Unnak Sports,Nike,SerieA
1269,Rogério,,25,1.78,Brazil,Nobres,5.8,10,Defender - Left-Back,6,left,Sassuolo,6/30/2024,7/1/2019,Prattes Group,,SerieA
1290,Luca Gemello,,22,1.9,Italy,Savigliano,0.3,0.3,Goalkeeper,89,right,Torino,6/30/2023,7/1/2019,Top Eleven ...,,SerieA
1297,Koffi Djidji,Lévy Koffi Djidji,30,1.84,Cote d'Ivoire  France,Bagnolet,3,5,Defender - Centre-Back,26,right,Torino,6/30/2023,7/1/2019,CAA Base Ltd,,SerieA
1298,Stephane Singo,Wilfried Stephane Singo,22,1.9,Cote d'Ivoire,Odienné,14,15,Defender - Right-Back,17,right,Torino,6/30/2024,7/1/2019,Maxime Nana,,SerieA
1301,Ola Aina,Temitayo Olufisayo Olaoluwa Aina,26,1.84,Nigeria  England,London,3.5,10,Defender - Right-Back,34,right,Torino,6/30/2023,7/1/2019,Elite Project Group ...,adidas,SerieA
1365,Roberto Soriano,,32,1.82,Italy  Germany,Darmstadt,3.5,16,midfield - Attacking Midfield,21,right,Bologna,6/30/2023,7/1/2019,TMP SOCCER srl,,SerieA
1367,Nicola Sansone,Nicola Domenico Sansone,31,1.73,Italy  Germany,München,1.5,16,Attack - Left Winger,10,right,Bologna,6/30/2023,7/1/2019,TMP SOCCER srl,Nike,SerieA
1368,Riccardo Orsolini,,26,1.83,Italy,Ascoli Piceno,10,25,Attack - Right Winger,7,left,Bologna,6/30/2024,7/1/2019,MM-Management,Nike,SerieA
1523,Pawel Dawidowicz,Paweł Marek Dawidowicz,27,1.89,Poland,Olsztyn,3.5,5,Defender - Centre-Back,27,both,Hellas Verona,6/30/2025,7/1/2019,INNfootball,Nike,SerieA
1529,Davide Faraoni,Marco Davide Faraoni,31,1.8,Italy,Bracciano,3.5,7,Defender - Right-Back,5,right,Hellas Verona,6/30/2025,7/1/2019,M.A.R.A.T. Football ...,Nike,SerieA
1548,Emil Audero,Emil Audero Mulyadi,26,1.92,Italy,Mataram,6,15,Goalkeeper,1,right,Sampdoria,6/30/2026,7/1/2019,TMP SOCCER srl,Nike,SerieA
1606,Éder Militão,Éder Gabriel Militão,25,1.86,Brazil  Spain,Sertãozinho,70,70,Defender - Centre-Back,3,right,Real Madrid,6/30/2025,7/1/2019,UJ Football Talent,adidas,LaLiga
1611,Ferland Mendy,Ferland Sinna Mendy,27,1.8,France  Senegal,Meulan-en-Yvelines,35,50,Defender - Left-Back,23,left,Real Madrid,6/30/2025,7/1/2019,FS Management,,LaLiga
1622,Eden Hazard,Eden Michael Hazard,32,1.75,Belgium,La Louvière,5,150,Attack - Left Winger,7,right,Real Madrid,6/30/2024,7/1/2019,Relatives,Nike,LaLiga
1623,Rodrygo,,22,1.74,Brazil  Spain,Osasco,80,80,Attack - Right Winger,21,right,Real Madrid,6/30/2025,7/1/2019,Un1que Football,Nike,LaLiga
1642,Frenkie de Jong,Frenkie de Jong,26,1.81,Netherlands,Arkel,60,90,midfield - Central Midfield,21,right,Barcelona,6/30/2026,7/1/2019,HCM Sports ...,Nike,LaLiga
1662,Marcos Llorente,Marcos Llorente Moreno,28,1.84,Spain,Madrid,35,80,midfield - Central Midfield,14,right,Atlético Madrid,6/30/2027,7/1/2019,,Nike,LaLiga
1672,Álex Remiro,Alejandro Remiro Gargallo,28,1.91,Spain,Cascante,25,25,Goalkeeper,1,right,Real Sociedad,6/30/2027,7/1/2019,Feel Winner,,LaLiga
1674,Robin Le Normand,,26,1.87,France,Pabu,35,35,Defender - Centre-Back,24,right,Real Sociedad,6/30/2026,7/1/2019,AC Talent,,LaLiga
1678,Aihen Muñoz,Aihen Muñoz Capellán,25,1.75,Spain,Etxauri,6,7.5,Defender - Left-Back,12,left,Real Sociedad,6/30/2024,7/1/2019,YOU FIRST,,LaLiga
1685,Ander Guevara,Ander Guevara Lajo,25,1.8,Spain,Vitoria-Gasteiz,5,7.5,midfield - Central Midfield,16,right,Real Sociedad,6/30/2024,7/1/2019,YOU FIRST,,LaLiga
1691,Ander Barrenetxea,Ander Barrenetxea Muguruza,21,1.75,Spain,Donostia-San Sebastián,6,15,Attack - Left Winger,7,right,Real Sociedad,6/30/2027,7/1/2019,Wasserman,,LaLiga
1730,Aitor Ruibal,Aitor Ruibal García,27,1.76,Spain,Sallent de Llobregat,5,5,Defender - Right-Back,24,right,Real Betis,6/30/2025,7/1/2019,JV SPORTS SL,,LaLiga
1739,Juanmi,,29,1.72,Spain,Coín,15,15,Attack - Left Winger,7,right,Real Betis,6/30/2026,7/1/2019,LIAN Sports Group,,LaLiga
1810,Joan Jordán,Joan Jordán Moreno,28,1.85,Spain,Regencós,12,30,midfield - Central Midfield,8,right,Sevilla FC,6/30/2027,7/1/2019,LEADERBROCK,,LaLiga
1822,Iván Villar,Iván Villar Martínez,25,1.86,Spain,Aldán,1.2,2.5,Goalkeeper,13,right,Celta de Vigo,6/30/2023,7/1/2019,Promoesport,,LaLiga
1880,Jon Moncayola,Jon Moncayola Tollar,25,1.82,Spain,Garinoain,12,12,midfield - Central Midfield,7,right,CA Osasuna,6/30/2031,7/1/2019,,,LaLiga
1886,Rubén García,Rubén García Santos,29,1.71,Spain,Xàtiva,6,10,Attack - Left Winger,14,left,CA Osasuna,6/30/2024,7/1/2019,Toldra Consulting ...,,LaLiga
1888,Chimy Ávila,Luis Ezequiel Ávila,29,1.72,Argentina  Spain,Rosario,10,15,Attack - Centre-Forward,9,right,CA Osasuna,6/30/2026,7/1/2019,Carlos Bilicich,,LaLiga
1892,Juan Carlos,,35,1.87,Spain,Guadalajara,0.3,1,Goalkeeper,1,,Girona,6/30/2023,7/1/2019,Intermedia Sport ...,,LaLiga
1925,Adrià Pedrosa,Adrià Giner Pedrosa,25,1.72,Spain,Barcelona,5,10,Defender - Left-Back,3,left,Espanyol,6/30/2023,7/1/2019,JM10 SPORT,,LaLiga
1958,Óscar Valentín,Óscar Valentín Martín Luengo,28,1.77,Spain,Ajofrín,4,4,midfield - Central Midfield,23,right,Rayo Vallecano,6/30/2025,7/1/2019,Promoesport,,LaLiga
1967,Andrés Martín,Andrés Martín García,23,1.78,Spain,Aguadulce,1,2.5,Attack - Centre-Forward,12,left,Rayo Vallecano,6/30/2024,7/1/2019,Best of You,,LaLiga
1971,Martin Valjent,,27,1.87,Slovakia,Dubnica nad Váhom,4.5,5,Defender - Centre-Back,24,right,RCD Mallorca,6/30/2025,7/1/2019,20 Sport,,LaLiga
2045,Fali,,29,1.86,Spain,Valencia,2.5,3,Defender - Centre-Back,3,right,Cádiz CF,6/30/2024,7/1/2019,Promoesport,,LaLiga
2051,Iza Carcelén,Isaac Carcelén Valencia,30,1.7,Spain,El Puerto de Santa María,1.5,2,Defender - Right-Back,20,right,Cádiz CF,6/30/2023,7/1/2019,Wasserman,,LaLiga
2087,Pere Milla,Pere Milla Peña,30,1.8,Spain,Lleida,3,3,Attack - Left Winger,10,left,Elche CF,6/30/2025,7/1/2019,EGGO Asesores ...,,LaLiga
2089,Fidel,,33,1.8,Spain,Dehesa de Riotinto,1,3,Attack - Left Winger,16,left,Elche CF,6/30/2024,7/1/2019,Wasserman,,LaLiga
2139,Gelson Martins,Gelson Dany Batalha Martins,28,1.7,Portugal  Cape Verde,Praia,8,35,Attack - Right Winger,77,right,Monaco,6/30/2024,7/1/2019,Ulisses Santos - ...,,Ligue1
2146,Romain Salin,,38,1.86,France,Mayenne,0.3,2.2,Goalkeeper,89,left,Rennes,6/30/2024,7/1/2019,NexSt11,,Ligue1
2260,Timothy Weah,Timothy Tarpeh Weah,23,1.83,United States  France,"New York City, New York",12,15,Attack - Right Winger,22,right,LOSC Lille,6/30/2024,7/1/2019,BS Group - BS Law,New Balance,Ligue1
2272,Steven Fortes,,31,1.92,Cape Verde  France,Marseille,0.5,1,Defender - Centre-Back,15,right,Lens,6/30/2023,7/1/2019,,,Ligue1
2290,Florian Sotoca,,32,1.87,France,Narbonne,4,4,Attack - Centre-Forward,7,right,Lens,6/30/2026,7/1/2019,One Team Football,Puma,Ligue1
2323,Matis Carvalho,,24,1.86,Portugal  France,Nantes,0.3,0.3,Goalkeeper,30,left,Montpellier,6/30/2023,7/1/2019,Concept Sport Agency,,Ligue1
2337,Jordan Ferri,,31,1.73,France,Cavaillon,5,7.5,midfield - Central Midfield,12,right,Montpellier,6/30/2026,7/1/2019,score agencies,,Ligue1
2370,Yehvann Diouf,,23,1.84,France  Senegal,Montreuil-sous-Bois,5,5,Goalkeeper,94,right,Stade Reims,6/30/2027,7/1/2019,FS Management,,Ligue1
2380,Marshall Munetsi,Marshall Nyasha Munetsi,26,1.88,Zimbabwe,Harare,5,5,midfield - Defensive Midfield,15,right,Stade Reims,6/30/2027,7/1/2019,Wasserman,,Ligue1
2409,Enzo Le Fée,,23,1.7,France,Lorient,15,15,midfield - Attacking Midfield,80,right,FC Lorient,6/30/2024,7/1/2019,Cracksman,,Ligue1
2421,Anthony Rouault,,21,1.86,France,Villeneuve-sur-Lot,8,8,Defender - Centre-Back,4,right,Toulouse,6/30/2024,7/1/2019,One Team Management,,Ligue1
2427,Moussa Diarra,,22,1.85,Mali  France,Stains,0.8,0.8,Defender - Left-Back,23,left,Toulouse,6/30/2024,7/1/2019,,,Ligue1
2444,Gauthier Gallon,,30,1.86,France,Nice,2,2.5,Goalkeeper,30,right,Troyes,6/30/2024,7/1/2019,Kemari,,Ligue1
2449,Yoann Salmier,,30,1.88,French Guiana  France,Villiers-le-Bel,2,2,Defender - Centre-Back,17,right,Troyes,6/30/2024,7/1/2019,W.Egal O.S.F.M.,,Ligue1
2541,Ousoumane Camara,,24,1.84,France,Pontoise,0.15,0.25,midfield - Defensive Midfield,8,right,AJ Auxerre,6/30/2024,7/1/2019,GRINTA,,Other
2552,Lassine Sinayoko,,23,1.86,Mali  France,Bamako,1.2,1.5,Attack - Right Winger,17,right,AJ Auxerre,6/30/2025,7/1/2019,VV Consulting,,Other
2574,Jim Allevinah,Jim Emilien Ngowet Allevinah,28,1.72,Gabon  France,Agen,2,2.5,midfield - Right Midfield,11,right,Clermont Foot,6/30/2024,7/1/2019,,,Other
2608,Mounaïm El Idrissy,منعم الإدريسي,24,1.81,France  Morocco,Martigues,1.8,1.8,Attack - Centre-Forward,7,right,AC Ajaccio,6/30/2023,7/1/2019,N.Agency,,Other
1023,Paul Grave,,22,1.93,Germany,Borken,0.1,0.1,Goalkeeper,34,right,VfL Bochum,,3/2/2019,FG Sports GmbH,,Bundesliga
190,Miguel Almirón,Miguel Ángel Almirón Rejala,29,1.74,Paraguay,Asunción,35,35,Attack - Right Winger,24,left,Newcastle,6/30/2026,1/31/2019,Osvaldo Daniel Campo,,EPL
274,Jonny Otto,Jonathan Castro Otto,29,1.75,Spain,Vigo,17,20,Defender - Left-Back,19,both,Wolves,6/30/2025,1/31/2019,Intermedia Sport ...,,EPL
652,Tuta,,23,1.85,Brazil,São Paulo,15,15,Defender - Centre-Back,35,right,E. Frankfurt,6/30/2026,1/31/2019,Wolfs,,Bundesliga
654,Almamy Touré,,27,1.83,Mali  France,Bamako,2.5,8,Defender - Centre-Back,18,right,E. Frankfurt,6/30/2023,1/31/2019,,,Bundesliga
1943,Stole Dimitrievski,Столе Димитриевски,29,1.88,North Macedonia  Spain,Kumanovo,4,4,Goalkeeper,1,right,Rayo Vallecano,6/30/2024,1/31/2019,Promoesport,,LaLiga
1946,Alejandro Catena,Alejandro Catena Marugán,28,1.94,Spain,Madrid,8,8,Defender - Centre-Back,5,right,Rayo Vallecano,6/30/2023,1/31/2019,Universal Sport,,LaLiga
1950,Mario Suárez,Mario Suárez Mata,36,1.89,Spain,Madrid,0.3,10,Defender - Centre-Back,4,right,Rayo Vallecano,6/30/2023,1/31/2019,Promoesport,,LaLiga
2049,Alfonso Espino,Luis Alfonso Espino García,31,1.72,Uruguay  Spain,San Jacinto,4,6,Defender - Left-Back,22,left,Cádiz CF,6/30/2023,1/28/2019,GBG Global Business ...,New Balance,LaLiga
2384,Arbër Zeneli,Arbër Zeneli,28,1.76,Kosovo  Sweden,Falun,4,6,Attack - Left Winger,10,right,Stade Reims,6/30/2025,1/26/2019,Soccer11,,Ligue1
2031,Álvaro Aguado,Álvaro Aguado Méndez,27,1.75,Spain,Jaén,3,3,midfield - Central Midfield,6,right,Real Valladolid,6/30/2023,1/25/2019,YOU FIRST,adidas,LaLiga
2570,Yohann Magnin,,25,1.83,France,Clermont-Ferrand,2,2,midfield - Defensive Midfield,7,right,Clermont Foot,6/30/2025,1/25/2019,,,Other
335,Alexis Mac Allister,,24,1.74,Argentina,Santa Rosa,42,42,midfield - Central Midfield,10,right,Brighton,6/30/2025,1/24/2019,,adidas,EPL
512,Chris Mepham,Christopher James Mepham,25,1.9,Wales  England,London,6,13,Defender - Centre-Back,6,right,Bournemouth,6/30/2025,1/22/2019,Volenti,adidas,EPL
922,Florian Kainz,,30,1.76,Austria,Graz,4,4.5,Attack - Left Winger,11,both,1.FC Köln,6/30/2025,1/18/2019,YOU FIRST,,Bundesliga
777,Christoph Baumgartner,,23,1.8,Austria,Horn,20,22,midfield - Attacking Midfield,14,right,TSG Hoffenheim,6/30/2025,1/15/2019,YOU FIRST,,Bundesliga
1572,Manolo Gabbiadini,,31,1.86,Italy,Calcinate,3,18,Attack - Centre-Forward,23,left,Sampdoria,6/30/2026,1/11/2019,BSP FOOTBALL AGENCY,,SerieA
2068,Édgar Badía,Édgar Badía Guardiola,31,1.8,Spain,Barcelona,4,4,Goalkeeper,13,right,Elche CF,6/30/2025,1/5/2019,Wasserman,,LaLiga
530,Dominic Solanke,Dominic Ayodele Solanke-Mitchell,25,1.86,England  Nigeria,Basingstoke,18,18,Attack - Centre-Forward,9,right,Bournemouth,6/30/2026,1/4/2019,Relatives,adidas,EPL
982,Romano Schmid,,23,1.68,Austria,Graz,4.5,5,midfield - Attacking Midfield,20,right,Werder Bremen,6/30/2025,1/3/2019,YOU FIRST,adidas,Bundesliga
49,Christian Pulisic,Christian Mate Pulišić,24,1.77,United States  Croatia,"Hershey, Pennsylvania",32,60,Attack - Right Winger,10,right,Chelsea,6/30/2024,1/2/2019,Relatives,Puma,EPL
2335,Mathías Suárez,Mathías Sebastián Suárez Suárez,26,1.82,Uruguay,Montevideo,0.4,1.5,Defender - Right-Back,15,right,Montpellier,6/30/2023,1/2/2019,,,Ligue1
78,Eddie Nketiah,Edward Keddar Nketiah,23,1.75,England  Ghana,London,25,25,Attack - Centre-Forward,14,right,Arsenal,6/30/2027,1/1/2019,Elite Project Group ...,Nike,EPL
183,Sean Longstaff,Sean David Longstaff,25,1.87,England,Newcastle upon Tyne,22,22,midfield - Central Midfield,36,right,Newcastle,6/30/2025,1/1/2019,Gol International,,EPL
540,Alphonso Davies,Alphonso Boyle Davies,22,1.85,Canada  Liberia,Buduburam,70,80,Defender - Left-Back,19,left,Bayern Munich,6/30/2025,1/1/2019,ATG Sports,,Bundesliga
610,Amadou Haidara,,25,1.75,Mali,Bamako,17,24,midfield - Central Midfield,8,right,RB Leipzig,6/30/2025,1/1/2019,ROOF,,Bundesliga
1045,Simon Zoller,Simon Martin Zoller,31,1.79,Germany,Friedrichshafen,1.1,3,Attack - Centre-Forward,9,right,VfL Bochum,6/30/2024,1/1/2019,GoalSky,Puma,Bundesliga
1913,Valery Fernández,Valery Fernández Estrada,23,1.82,Spain,L'Escala,1.5,5,Attack - Right Winger,11,right,Girona,6/30/2026,1/1/2019,,,LaLiga
1954,Mario Hernández,Mario Hernández Fernández,24,1.77,Spain,Madrid,0.7,0.8,Defender - Right-Back,2,right,Rayo Vallecano,6/30/2023,1/1/2019,PROTIO SPORT,,LaLiga
1521,Alessandro Berardi,,32,1.85,Italy,Roma,0.05,0.2,Goalkeeper,22,right,Hellas Verona,6/30/2025,12/14/2018,SP GROUP,,SerieA
2232,Maxence Caqueret,,23,1.74,France,Vénissieux,25,25,midfield - Central Midfield,6,right,Olympique Lyon,6/30/2027,12/14/2018,,adidas,Ligue1
1716,Samuel Chukwueze,Samuel Chimerenka Chukwueze,23,1.72,Nigeria,Umahaia,20,30,Attack - Right Winger,11,left,Villarreal,6/30/2024,11/1/2018,10Management,,LaLiga
816,Benjamin Leneis,,24,1.95,Germany,München,0.15,0.3,Goalkeeper,39,both,FC Augsburg,6/30/2023,10/24/2018,,,Bundesliga
750,Roland Sallai,,25,1.83,Hungary,Budapest,10,16,Attack - Right Winger,22,both,SC Freiburg,6/30/2025,8/31/2018,World Soccer Agency,Nike,Bundesliga
2021,Joaquín Fernández,Joaquín Fernández Moreno,26,1.9,Spain,Huercal de Almería,3,3,Defender - Centre-Back,24,right,Real Valladolid,6/30/2023,8/31/2018,Wasserman,,LaLiga
2102,Juan Bernat,Juan Bernat Velasco,30,1.7,Spain,Cullera,12,20,Defender - Left-Back,14,left,Paris SG,6/30/2025,8/31/2018,InterStarDeporte,adidas,Ligue1
2238,Moussa Dembélé,,26,1.87,France  Mali,Pontoise,15,50,Attack - Centre-Forward,9,right,Olympique Lyon,6/30/2023,8/31/2018,Mansa Sports ...,adidas,Ligue1
2303,Charles Traoré,,31,1.8,Mali  France,Aulnay-sous-Bois,0.8,3,Defender - Left-Back,93,left,FC Nantes,6/30/2023,8/31/2018,Creative & ...,,Ligue1
2377,Thomas Foket,,28,1.77,Belgium,Brussel,4.5,6,Defender - Right-Back,32,right,Stade Reims,6/30/2025,8/31/2018,Quadrans,adidas,Ligue1
2369,Lebo Mothiba,Lebogang Mothiba,27,1.82,South Africa,"Johannesburg, Gauteng",1.5,7,Attack - Centre-Forward,12,right,R. Strasbourg,6/30/2024,8/30/2018,MDC Advisors,adidas,Ligue1
1627,Mariano Díaz,Mariano Díaz Mejía,29,1.8,Dominican Republic  Spain,Premià de Mar,2.5,22,Attack - Centre-Forward,24,right,Real Madrid,6/30/2023,8/29/2018,YOU FIRST,,LaLiga
2348,Eiji Kawashima,川島 永嗣,40,1.85,Japan,"Yono, Saitama",0.2,3,Goalkeeper,16,right,R. Strasbourg,6/30/2023,8/29/2018,,Puma,Ligue1
1961,Álvaro García,Álvaro García Rivera,30,1.67,Spain,Utrera,6,6,Attack - Left Winger,18,both,Rayo Vallecano,6/30/2026,8/23/2018,YOU FIRST,Puma,LaLiga
423,Josh Dasilva,Pelenda Joshua Tunga Dasilva,24,1.84,England  Angola,London,9,10,midfield - Central Midfield,10,left,Brentford,6/30/2024,8/21/2018,CAA Base Ltd,,Other
2550,Rémy Dugimont,,36,1.82,France,Saint-Cloud,0.3,0.9,Attack - Left Winger,21,right,AJ Auxerre,6/30/2023,8/13/2018,Kemari,Puma,Other
220,Caglar Söyüncü,Çağlar Söyüncü,26,1.85,Turkey,Izmir,15,45,Defender - Centre-Back,4,right,Leicester,6/30/2023,8/9/2018,Wasserman,Nike,EPL
269,Max Kilman,Maximilian William Kilman,25,1.94,England  Ukraine,London,25,25,Defender - Centre-Back,23,left,Wolves,6/30/2026,8/9/2018,Wasserman,,EPL
356,Yerry Mina,Yerry Fernando Mina González,28,1.95,Colombia,Guachené,12,30,Defender - Centre-Back,13,right,Everton,6/30/2023,8/9/2018,Wasserman,adidas,EPL
1603,Thibaut Courtois,Thibaut Nicolas Marc Courtois,31,2,Belgium,Bree,60,75,Goalkeeper,1,left,Real Madrid,6/30/2026,8/9/2018,Christophe Henrotay,Nike,LaLiga
2517,Farid El Melali,,25,1.68,Algeria,Blida,0.7,2,Attack - Left Winger,28,both,Angers SCO,6/30/2023,8/9/2018,,,Ligue1
25,Kepa Arrizabalaga,Kepa Arrizabalaga Revuelta,28,1.86,Spain,Ondarroa,15,60,Goalkeeper,1,right,Chelsea,6/30/2025,8/8/2018,AC Talent,adidas,EPL
259,John McGinn,,28,1.78,Scotland,Glasgow,27,32,midfield - Central Midfield,7,left,Aston Villa,6/30/2025,8/8/2018,,,EPL
288,Adama Traoré,Adama Traoré Diarra,27,1.78,Spain  Mali,L'Hospitalet de Llobregat,12,40,Attack - Right Winger,37,right,Wolves,6/30/2023,8/8/2018,Gestifute,,EPL
519,Jefferson Lerma,Jefferson Andrés Lerma Solís,28,1.79,Colombia,Cerrito,15,25,midfield - Defensive Midfield,8,right,Bournemouth,6/30/2023,8/7/2018,ABADSPORT,Nike,EPL
1137,Leonardo Bonucci,,36,1.9,Italy,Viterbo,2.5,45,Defender - Centre-Back,19,right,Juventus,6/30/2024,8/2/2018,World Soccer Agency,Nike,SerieA
1831,Fran Beltrán,Francisco José Beltrán Peinado,24,1.65,Spain,Madrid,15,18,midfield - Central Midfield,8,right,Celta de Vigo,6/30/2026,8/1/2018,InterStarDeporte,,LaLiga
455,Patrick Bamford,Patrick James Bamford,29,1.85,England  Ireland,Grantham,10,22,Attack - Centre-Forward,9,left,Leeds,6/30/2026,7/31/2018,CAA Stellar,,Other
504,Aleksandar Mitrović,Александар Митровић,28,1.89,Serbia,Smederevo,28,28,Attack - Centre-Forward,9,right,Fulham,6/30/2026,7/30/2018,Gol International,Nike,EPL
1960,José Pozo,José Ángel Pozo la Rosa,27,1.71,Spain,Málaga,1.2,3,midfield - Attacking Midfield,22,left,Rayo Vallecano,6/30/2024,7/27/2018,YOU FIRST,,LaLiga
2134,Aleksandr Golovin,Головин Александр Сергеевич,26,1.78,Russia,"Kaltan, Kemerovo Oblast",25,30,midfield - Attacking Midfield,17,right,Monaco,6/30/2026,7/27/2018,,Nike,Ligue1
172,Fabian Schär,Fabian Lukas Schär,31,1.86,Switzerland,Wil,10,16,Defender - Centre-Back,5,right,Newcastle,6/30/2024,7/26/2018,Sports360 GmbH,Puma,EPL
2347,Matz Sels,Matz Willy Els Sels,31,1.88,Belgium,Lint,8,8,Goalkeeper,1,right,R. Strasbourg,6/30/2026,7/26/2018,pro soccer ...,,Ligue1
283,João Moutinho,João Filipe Iria Santos Moutinho,36,1.7,Portugal,Portimão,2,30,midfield - Central Midfield,28,right,Wolves,6/30/2023,7/24/2018,Gestifute,adidas,EPL
216,Danny Ward,Daniel Ward,29,1.91,Wales,Wrexham,8,10,Goalkeeper,1,right,Leicester,6/30/2025,7/20/2018,CAA Stellar,Nike,EPL
79,Alisson,,30,1.93,Brazil,Novo Hamburgo,45,90,Goalkeeper,1,right,Liverpool,6/30/2027,7/19/2018,NWS - Neis World ...,Nike,EPL
2203,Youcef Atal,,26,1.76,Algeria,Boghni,10,25,Defender - Right-Back,20,both,OGC Nice,6/30/2024,7/17/2018,GRINTA,,Ligue1
